Time,Bus_Voltage,Bus_Current,RPM,Torque,Current_U,Current_V,Current_W,Throttle_Voltage,SOC
2025-02-12 16:33:21.153,90.58,49.55,1266,96.01,50.51,108.7,-10.52,2.52,58.8
2025-02-12 16:33:21.253,88.88,53.48,1299,98.91,54.44,108.14,-12.49,2.5,61.0
2025-02-12 16:33:21.353,90.4,56.41,1349,101.71,56.8,105.4,-13.7,2.6,60.5
2025-02-12 16:33:21.453,90.29,59.63,1366,103.89,61.43,103.43,-14.95,2.61,61.6
2025-02-12 16:33:21.553,90.08,64.19,1418,108.7,64.57,101.27,-16.23,2.63,62.2
2025-02-12 16:33:21.653,89.9,67.67,1474,110.84,68.11,101.65,-17.31,2.67,61.8
2025-02-12 16:33:21.753,90.66,70.08,1489,117.71,70.67,97.83,-18.19,2.65,60.6
2025-02-12 16:33:21.853,91.44,75.53,1552,118.52,75.53,94.26,-19.24,2.69,61.0
2025-02-12 16:33:21.953,92.54,77.59,1552,123.96,78.83,92.96,-19.32,2.71,63.1
2025-02-12 16:33:22.053,90.41,79.76,1576,124.55,80.2,89.13,-20.09,2.79,61.2
2025-02-12 16:33:22.153,91.72,84.01,1665,131.37,84.3,85.6,-20.24,2.78,62.7
2025-02-12 16:33:22.253,89.25,85.49,1644,131.5,86.58,82.84,-20.3,2.86,62.4
2025-02-12 16:33:22.353,89.94,89.99,1708,135.16,89.16,80.56,-19.43,2.88,62.1
2025-02-12 16:33:22.453,89.64,92.93,1749,141.28,92.47,77.12,-19.49,2.94,63.4
2025-02-12 16:33:22.553,91.88,94.4,1809,141.03,93.93,73.6,-18.76,2.93,63.9
2025-02-12 16:33:22.653,93.05,98.57,1814,145.85,97.34,70.85,-17.97,2.98,62.8
2025-02-12 16:33:22.753,91.91,98.79,1854,146.77,100.67,67.61,-17.05,3.03,64.6
2025-02-12 16:33:22.853,90.37,103.61,1916,149.19,101.07,63.77,-16.38,2.97,63.2
2025-02-12 16:33:22.953,92.66,106.49,1950,156.16,105.25,59.97,-15.25,3.0,64.7
2025-02-12 16:33:23.053,90.77,105.41,1942,159.01,108.77,57.1,-13.81,3.07,63.6
2025-02-12 16:33:23.153,90.2,107.89,1999,160.55,107.55,53.38,-12.05,3.14,64.1
2025-02-12 16:33:23.253,91.73,111.73,1998,160.18,111.7,48.95,-10.51,3.21,65.8
2025-02-12 16:33:23.353,91.45,113.2,2018,164.66,113.52,45.24,-8.54,3.2,65.5
2025-02-12 16:33:23.453,93.13,113.04,2059,164.09,115.93,42.96,-6.4,3.19,65.8
2025-02-12 16:33:23.553,90.8,115.9,2101,168.86,115.26,39.5,-4.24,3.21,67.1
2025-02-12 16:33:23.653,93.31,118.48,2145,171.08,117.89,35.47,-2.01,3.25,67.3
2025-02-12 16:33:23.753,91.19,115.91,2197,174.53,118.83,31.74,0.41,3.3,67.2
2025-02-12 16:33:23.853,90.93,117.9,2206,177.99,116.2,28.44,2.96,3.39,67.4
2025-02-12 16:33:23.953,92.2,117.56,2230,180.6,120.36,25.57,5.62,3.4,66.5
2025-02-12 16:33:24.053,90.95,120.26,2199,182.61,119.76,22.01,8.42,3.34,66.0
2025-02-12 16:33:24.153,90.92,120.69,2285,180.24,118.25,19.15,11.23,3.39,67.1
2025-02-12 16:33:24.253,91.23,119.04,2267,180.44,118.08,15.83,14.26,3.44,67.3
2025-02-12 16:33:24.353,92.69,120.5,2338,182.96,120.2,12.89,17.11,3.54,67.0
2025-02-12 16:33:24.453,94.03,120.89,2364,183.77,122.12,9.95,20.23,3.55,67.5
2025-02-12 16:33:24.553,91.57,121.16,2351,185.96,117.16,7.02,23.53,3.6,67.6
2025-02-12 16:33:24.653,94.39,120.16,2355,189.27,116.94,4.21,26.88,3.53,69.1
2025-02-12 16:33:24.753,94.21,118.64,2406,187.28,116.76,1.64,30.0,3.61,70.0
2025-02-12 16:33:24.853,91.66,119.41,2437,187.77,115.59,-0.83,33.14,3.58,68.8
2025-02-12 16:33:24.953,94.49,115.22,2377,190.12,117.93,-3.2,37.31,3.61,70.5
2025-02-12 16:33:25.053,94.49,114.32,2409,187.43,112.57,-5.31,40.62,3.68,68.4
2025-02-12 16:33:25.153,92.51,113.19,2469,188.96,112.62,-7.59,44.54,3.66,70.1
2025-02-12 16:33:25.253,91.75,111.64,2453,192.58,113.65,-9.43,47.23,3.8,70.0
2025-02-12 16:33:25.353,95.41,109.56,2424,193.16,111.87,-11.34,51.9,3.76,71.1
2025-02-12 16:33:25.453,93.58,107.36,2495,186.37,109.6,-13.03,54.01,3.86,71.9
2025-02-12 16:33:25.553,94.32,106.74,2453,188.53,105.48,-14.03,57.28,3.86,72.0
2025-02-12 16:33:25.653,92.27,101.92,2470,192.93,104.92,-15.75,60.68,3.8,69.7
2025-02-12 16:33:25.753,94.71,101.89,2466,189.15,100.83,-16.54,65.54,3.94,70.9
2025-02-12 16:33:25.853,94.95,99.58,2470,186.62,97.65,-18.07,69.27,3.97,73.0
2025-02-12 16:33:25.953,92.57,96.9,2505,184.13,96.17,-18.72,70.92,3.87,72.6
2025-02-12 16:33:26.053,95.11,93.25,2521,187.33,92.54,-19.45,76.47,3.96,71.9
2025-02-12 16:33:26.153,93.53,89.83,2477,186.98,89.39,-19.85,77.07,3.98,73.8
2025-02-12 16:33:26.253,92.23,89.29,2525,183.0,89.0,-19.5,80.57,3.99,71.4
2025-02-12 16:33:26.353,93.69,84.08,2467,185.65,85.47,-19.85,84.45,4.07,72.6
2025-02-12 16:33:26.453,95.77,81.87,2480,179.67,83.41,-19.78,87.56,4.04,72.1
2025-02-12 16:33:26.553,93.45,78.84,2498,180.8,78.85,-19.52,89.51,4.07,74.3
2025-02-12 16:33:26.653,95.07,74.29,2498,178.75,75.59,-19.26,91.92,4.04,72.3
2025-02-12 16:33:26.753,92.53,72.55,2434,175.82,73.31,-18.79,97.59,4.2,74.8
2025-02-12 16:33:26.853,95.11,70.1,2509,177.28,68.86,-17.55,98.73,4.21,73.1
2025-02-12 16:33:26.953,95.8,64.93,2488,175.49,66.06,-17.07,102.19,4.23,73.0
2025-02-12 16:33:27.053,93.51,63.18,2404,169.09,63.14,-16.06,102.07,4.23,73.6
2025-02-12 16:33:27.153,95.91,59.91,2409,168.15,59.1,-14.67,106.37,4.29,74.1
2025-02-12 16:33:27.253,95.82,56.24,2422,163.9,54.79,-13.26,106.25,4.2,74.1
2025-02-12 16:33:27.353,93.14,50.78,2420,163.18,50.94,-11.32,111.82,4.22,75.2
2025-02-12 16:33:27.453,92.87,47.32,2395,159.69,48.25,-9.88,113.64,4.26,75.1
2025-02-12 16:33:27.553,94.6,45.09,2410,157.22,45.58,-7.75,113.31,4.34,76.2
2025-02-12 16:33:27.653,94.65,41.89,2333,154.4,40.59,-5.83,113.69,4.27,76.8
2025-02-12 16:33:27.753,93.75,37.91,2378,150.26,37.76,-3.61,115.85,4.36,77.3
2025-02-12 16:33:27.853,94.72,34.31,2302,149.71,33.84,-1.24,118.66,4.32,76.1
2025-02-12 16:33:27.953,94.58,30.95,2280,149.59,31.38,1.25,116.53,4.33,76.5
2025-02-12 16:33:28.053,95.54,28.01,2253,145.63,27.43,3.76,116.55,4.45,77.6
2025-02-12 16:33:28.153,95.56,24.27,2237,143.05,24.27,6.47,120.6,4.35,75.8
2025-02-12 16:33:28.253,93.66,21.17,2198,136.29,20.93,9.51,117.66,4.53,76.9
2025-02-12 16:33:28.353,95.68,18.17,2213,135.65,17.5,12.4,122.06,4.42,76.9
2025-02-12 16:33:28.453,93.46,14.47,2173,129.22,14.74,15.04,119.98,4.51,76.9
2025-02-12 16:33:28.553,94.48,11.9,2171,127.03,11.63,18.4,119.82,4.43,78.8
2025-02-12 16:33:28.653,95.1,9.01,2167,126.27,8.7,21.88,118.74,4.51,78.2
2025-02-12 16:33:28.753,93.8,6.1,2121,119.08,6.04,24.6,118.95,4.52,78.0
2025-02-12 16:33:28.853,96.33,3.32,2117,117.75,3.39,28.59,118.33,4.65,78.0
2025-02-12 16:33:28.953,95.2,0.82,2007,115.44,0.83,31.37,115.46,4.56,79.6
2025-02-12 16:33:29.053,93.28,-1.6,2037,111.56,-1.65,34.92,118.57,4.54,77.8
2025-02-12 16:33:29.153,96.7,-3.96,1966,106.04,-3.98,37.71,113.52,4.64,77.8
2025-02-12 16:33:29.253,93.57,-6.08,1986,103.48,-6.02,42.26,116.52,4.67,80.9
2025-02-12 16:33:29.353,94.56,-8.08,1956,101.58,-8.05,45.1,112.81,4.59,78.6
2025-02-12 16:33:29.453,95.55,-9.95,1882,96.94,-10.01,48.97,112.22,4.63,80.2
2025-02-12 16:33:29.553,93.67,-11.98,1852,92.73,-11.63,53.12,107.75,4.64,79.0
2025-02-12 16:33:29.653,93.51,-13.18,1784,89.24,-13.29,55.35,107.02,4.74,81.1
2025-02-12 16:33:29.753,93.95,-14.52,1813,84.51,-14.57,58.95,107.27,4.8,81.6
2025-02-12 16:33:29.853,93.16,-16.14,1766,82.13,-16.3,62.58,103.28,4.81,81.8
2025-02-12 16:33:29.953,94.46,-17.2,1734,77.18,-16.79,65.01,99.19,4.67,82.1
2025-02-12 16:33:30.053,95.61,-18.37,1687,74.75,-17.69,69.29,97.74,4.72,81.2
2025-02-12 16:33:30.153,96.06,-18.78,1628,71.43,-18.54,73.16,95.12,4.7,82.0
2025-02-12 16:33:30.253,93.27,-19.25,1582,66.88,-19.11,76.38,91.54,4.71,80.2
2025-02-12 16:33:30.353,93.72,-19.61,1588,64.12,-19.73,80.41,90.31,4.84,81.6
2025-02-12 16:33:30.453,95.39,-19.7,1521,60.85,-19.61,81.46,86.69,4.79,82.5
2025-02-12 16:33:30.553,95.46,-19.91,1491,58.27,-20.26,85.39,84.35,4.9,81.4
2025-02-12 16:33:30.653,93.24,-20.07,1452,55.19,-19.55,87.32,80.41,4.74,83.5
2025-02-12 16:33:30.753,94.21,-19.23,1393,51.72,-19.31,91.65,76.43,4.92,83.1
2025-02-12 16:33:30.853,95.11,-18.9,1364,48.46,-18.7,93.03,75.35,4.91,84.3
2025-02-12 16:33:30.953,96.21,-18.58,1351,44.73,-18.05,97.32,71.68,4.81,84.2
2025-02-12 16:33:31.053,94.48,-17.84,1313,42.66,-17.48,98.01,68.8,4.83,82.9
2025-02-12 16:33:31.153,96.6,-16.68,1244,38.41,-16.31,100.86,65.3,4.96,84.2
2025-02-12 16:33:31.253,93.17,-15.5,1216,36.82,-15.7,102.91,60.44,4.92,85.0
2025-02-12 16:33:31.353,95.1,-14.08,1185,34.01,-14.34,106.34,58.19,4.87,83.5
2025-02-12 16:33:31.453,96.46,-12.66,1143,31.03,-12.55,109.88,53.72,4.83,85.1
2025-02-12 16:33:31.553,95.58,-10.94,1092,27.73,-11.06,109.43,50.14,4.97,83.4
2025-02-12 16:33:31.653,94.2,-9.26,1066,25.29,-9.27,113.06,47.31,4.91,84.5
2025-02-12 16:33:31.753,93.46,-7.25,1019,23.08,-7.21,114.27,42.96,4.97,85.2
2025-02-12 16:33:31.853,96.35,-5.03,958,21.39,-5.04,115.87,39.96,5.02,83.4
2025-02-12 16:33:31.953,95.38,-2.75,929,18.88,-2.81,116.94,37.28,4.85,84.1
2025-02-12 16:33:32.053,93.15,-0.42,915,16.45,-0.42,117.49,33.73,4.99,83.9
2025-02-12 16:33:32.153,94.99,2.07,875,14.68,2.12,118.87,30.06,5.01,86.8
2025-02-12 16:33:32.253,96.01,4.69,814,13.05,4.75,119.55,26.48,4.88,85.9
2025-02-12 16:33:32.353,93.67,7.41,775,11.11,7.42,120.62,22.79,5.06,85.2
2025-02-12 16:33:32.453,95.68,10.47,739,9.56,10.13,120.17,20.16,5.0,85.0
2025-02-12 16:33:32.553,92.56,13.03,727,8.06,13.45,119.08,16.46,5.07,87.1
2025-02-12 16:33:32.653,95.72,16.02,693,6.59,16.28,121.86,13.52,4.96,86.4
2025-02-12 16:33:32.753,92.95,19.45,649,5.51,19.76,118.95,10.58,5.03,87.9
2025-02-12 16:33:32.853,93.14,22.25,605,4.32,22.41,121.48,7.98,5.02,88.0
2025-02-12 16:33:32.953,93.27,25.49,575,3.23,25.44,120.57,5.15,5.08,88.5
2025-02-12 16:33:33.053,94.19,29.24,538,2.44,29.22,117.44,2.49,5.05,85.6
2025-02-12 16:33:33.153,94.61,32.87,518,1.68,33.19,115.65,-0.01,5.0,87.4
2025-02-12 16:33:33.253,93.81,35.78,487,1.09,35.82,116.97,-2.41,5.03,87.8
2025-02-12 16:33:33.353,94.23,39.67,445,0.6,38.94,114.02,-4.68,5.04,87.6
2025-02-12 16:33:33.453,93.28,43.58,420,0.27,42.93,113.45,-6.8,4.94,88.4
2025-02-12 16:33:33.553,92.6,46.93,400,0.07,45.98,112.43,-8.9,4.96,89.5
2025-02-12 16:33:33.653,93.81,50.17,367,0.0,50.29,111.67,-10.72,4.97,89.0
2025-02-12 16:33:33.753,94.34,53.17,343,0.07,53.5,110.16,-12.11,5.06,87.6
2025-02-12 16:33:33.853,93.49,56.52,307,0.27,57.69,105.26,-14.08,5.06,89.9
2025-02-12 16:33:33.953,92.4,60.85,283,0.6,60.36,104.19,-15.35,4.96,87.1
2025-02-12 16:33:34.053,91.68,63.01,261,1.07,63.54,102.89,-16.6,5.08,87.3
2025-02-12 16:33:34.153,92.11,68.15,238,1.7,67.65,99.02,-17.16,4.96,89.9
2025-02-12 16:33:34.253,92.99,71.67,219,2.45,72.04,95.82,-18.41,4.89,87.6
2025-02-12 16:33:34.353,93.28,75.58,192,3.31,74.66,94.94,-18.76,4.94,88.0
2025-02-12 16:33:34.453,93.39,78.35,173,4.28,77.56,90.45,-19.51,5.08,89.0
2025-02-12 16:33:34.553,91.14,80.23,152,5.48,79.79,90.43,-19.66,4.98,89.1
2025-02-12 16:33:34.653,93.43,84.46,138,6.74,84.67,85.32,-20.15,4.99,89.5
2025-02-12 16:33:34.753,91.07,85.53,121,7.95,88.21,84.3,-20.03,5.06,91.8
2025-02-12 16:33:34.853,94.16,89.24,101,9.43,88.76,80.32,-20.05,4.94,90.2
2025-02-12 16:33:34.953,92.43,92.57,88,11.13,93.24,77.06,-19.43,5.02,91.0
2025-02-12 16:33:35.053,94.33,93.68,75,12.83,95.79,72.16,-19.15,4.96,90.6
2025-02-12 16:33:35.153,90.77,96.73,62,14.98,96.89,70.15,-18.19,4.86,92.2
2025-02-12 16:33:35.253,91.64,100.07,50,16.91,101.34,65.93,-17.38,5.0,91.3
2025-02-12 16:33:35.353,93.04,103.25,39,18.54,103.3,63.74,-16.29,4.86,90.2
2025-02-12 16:33:35.453,92.76,103.49,30,20.85,107.06,59.9,-14.82,4.89,92.0
2025-02-12 16:33:35.553,90.98,105.9,22,23.16,108.67,57.13,-13.4,5.01,90.6
2025-02-12 16:33:35.653,90.98,108.92,15,25.92,107.79,52.39,-12.26,4.84,90.7
2025-02-12 16:33:35.753,91.55,109.95,10,27.94,113.04,49.33,-10.25,4.82,92.6
2025-02-12 16:33:35.853,91.88,112.09,6,31.12,111.24,45.22,-8.63,4.83,90.7
2025-02-12 16:33:35.953,93.02,111.97,2,32.92,114.41,42.08,-6.41,4.98,91.5
2025-02-12 16:33:36.053,89.82,113.76,1,35.92,114.5,38.57,-4.3,4.98,90.6
2025-02-12 16:33:36.153,89.86,117.14,0,39.89,117.36,35.46,-2.05,4.89,93.6
2025-02-12 16:33:36.253,91.61,118.23,1,41.5,117.8,31.88,0.39,4.95,90.9
2025-02-12 16:33:36.353,91.65,116.34,2,45.76,120.46,29.19,2.94,4.81,92.8
2025-02-12 16:33:36.453,90.58,117.85,6,47.25,118.44,25.05,5.7,4.83,92.7
2025-02-12 16:33:36.553,92.42,118.9,10,52.02,117.6,21.96,8.45,4.79,93.1
2025-02-12 16:33:36.653,91.18,121.41,16,53.64,120.76,18.77,11.1,4.92,91.5
2025-02-12 16:33:36.753,92.48,117.77,23,56.95,118.06,15.49,14.22,4.83,93.7
2025-02-12 16:33:36.853,91.09,119.75,30,60.83,118.96,12.66,17.48,4.72,93.1
2025-02-12 16:33:36.953,90.46,118.06,40,65.61,119.76,9.98,20.43,4.72,92.9
2025-02-12 16:33:37.053,91.46,120.82,49,68.98,121.35,7.11,23.4,4.86,94.6
2025-02-12 16:33:37.153,89.01,120.52,60,72.68,116.66,4.25,26.55,4.8,93.4
2025-02-12 16:33:37.253,90.78,116.23,74,75.08,119.32,1.62,30.71,4.69,92.7
2025-02-12 16:33:37.353,89.46,116.57,89,78.97,117.01,-0.84,34.36,4.68,94.9
2025-02-12 16:33:37.453,91.13,117.78,104,80.69,118.11,-3.12,36.6,4.73,92.5
2025-02-12 16:33:37.553,90.7,115.16,120,85.04,116.78,-5.35,41.31,4.64,93.4
2025-02-12 16:33:37.653,90.55,114.39,136,89.18,111.76,-7.51,44.23,4.66,94.9
2025-02-12 16:33:37.753,91.42,110.69,155,93.49,110.73,-9.26,48.38,4.66,93.4
2025-02-12 16:33:37.853,88.58,109.64,176,96.33,110.25,-11.03,51.34,4.63,93.8
2025-02-12 16:33:37.953,89.39,109.45,196,99.45,108.61,-12.97,55.16,4.69,96.1
2025-02-12 16:33:38.053,90.71,106.97,216,105.21,104.44,-14.08,57.72,4.54,96.1
2025-02-12 16:33:38.153,89.25,103.05,238,106.78,104.26,-15.79,62.74,4.6,96.8
2025-02-12 16:33:38.253,89.54,99.97,261,111.82,102.95,-16.55,65.21,4.62,95.7
2025-02-12 16:33:38.353,88.76,100.05,282,113.85,98.2,-17.5,67.66,4.55,94.4
2025-02-12 16:33:38.453,91.04,94.82,316,117.64,95.66,-18.84,70.67,4.52,95.8
2025-02-12 16:33:38.553,89.64,92.31,345,120.91,92.65,-19.34,75.52,4.6,93.7
2025-02-12 16:33:38.653,88.92,92.79,367,125.78,92.13,-19.56,79.83,4.52,96.5
2025-02-12 16:33:38.753,90.0,89.25,393,126.31,88.57,-20.14,82.01,4.42,96.0
2025-02-12 16:33:38.853,87.74,85.1,423,131.04,85.72,-19.85,84.39,4.45,95.7
2025-02-12 16:33:38.953,90.51,82.88,457,135.23,83.73,-20.16,88.31,4.49,95.0
2025-02-12 16:33:39.053,89.22,78.85,477,136.72,77.49,-19.31,89.3,4.43,94.5
2025-02-12 16:33:39.153,87.3,76.06,515,141.68,75.83,-19.3,93.74,4.44,95.0
2025-02-12 16:33:39.253,89.82,71.04,557,145.68,72.72,-18.59,95.92,4.36,97.2
2025-02-12 16:33:39.353,89.52,67.75,573,148.07,69.19,-17.73,97.11,4.37,95.8
2025-02-12 16:33:39.453,87.13,64.94,610,152.1,65.29,-16.65,100.35,4.34,97.2
2025-02-12 16:33:39.553,87.53,62.57,655,155.49,61.45,-15.92,104.4,4.41,95.1
2025-02-12 16:33:39.653,88.09,59.76,671,154.28,59.16,-14.82,104.78,4.28,94.8
2025-02-12 16:33:39.753,88.85,54.98,731,158.54,55.97,-13.31,109.62,4.24,94.9
2025-02-12 16:33:39.853,88.27,51.92,758,159.78,51.55,-11.45,109.12,4.35,95.1
2025-02-12 16:33:39.953,88.49,48.9,801,163.01,48.01,-9.72,113.23,4.22,96.8
2025-02-12 16:33:40.053,88.43,44.37,835,169.18,44.83,-7.89,113.95,4.23,98.1
2025-02-12 16:33:40.153,87.68,41.81,849,168.37,41.34,-5.83,115.35,4.2,96.8
2025-02-12 16:33:40.253,89.21,38.23,885,168.57,37.93,-3.56,113.57,4.26,98.6
2025-02-12 16:33:40.353,86.93,34.78,955,173.59,34.42,-1.23,115.16,4.22,99.1
2025-02-12 16:33:40.453,86.37,30.83,959,175.81,30.93,1.21,119.2,4.16,97.6
2025-02-12 16:33:40.553,87.81,27.99,1030,179.91,27.3,3.86,120.62,4.15,98.1
2025-02-12 16:33:40.653,86.17,24.48,1055,178.79,24.53,6.5,120.84,4.16,96.4
2025-02-12 16:33:40.753,88.42,21.03,1079,183.42,21.35,9.43,121.66,4.05,98.7
2025-02-12 16:33:40.853,88.13,18.0,1128,179.18,18.07,12.21,119.04,4.12,98.9
2025-02-12 16:33:40.953,85.84,15.04,1182,185.58,14.55,15.54,121.84,4.09,98.7
2025-02-12 16:33:41.053,88.19,11.98,1222,187.21,11.9,18.7,118.14,4.0,98.8
2025-02-12 16:33:41.153,85.45,8.89,1272,185.4,8.95,21.38,119.44,4.02,97.1
2025-02-12 16:33:41.253,86.23,5.99,1288,187.1,5.99,24.41,120.22,3.99,97.9
2025-02-12 16:33:41.353,87.65,3.37,1322,187.69,3.39,28.15,119.43,3.89,97.6
2025-02-12 16:33:41.453,85.39,0.83,1343,189.75,0.81,31.56,117.59,3.84,98.3
2025-02-12 16:33:41.553,86.28,-1.65,1382,190.65,-1.65,35.16,115.27,3.9,96.9
2025-02-12 16:33:41.653,87.99,-3.95,1436,189.23,-3.88,38.37,117.39,3.8,99.2
2025-02-12 16:33:41.753,86.52,-6.14,1480,191.78,-6.04,42.15,115.15,3.79,96.5
2025-02-12 16:33:41.853,84.88,-8.21,1535,190.91,-7.98,44.78,110.63,3.74,99.0
2025-02-12 16:33:41.953,87.22,-10.05,1565,189.94,-10.04,48.4,111.79,3.71,97.6
2025-02-12 16:33:42.053,86.3,-11.78,1591,186.42,-11.84,53.02,111.14,3.78,97.3
2025-02-12 16:33:42.153,84.73,-13.52,1664,190.3,-13.41,55.99,105.99,3.64,97.4
2025-02-12 16:33:42.253,86.9,-14.74,1706,192.81,-14.86,59.13,106.53,3.66,98.3
2025-02-12 16:33:42.353,85.35,-16.03,1723,186.1,-15.89,62.52,101.3,3.65,99.0
2025-02-12 16:33:42.453,87.58,-16.98,1763,185.43,-16.88,66.55,99.18,3.64,97.2
2025-02-12 16:33:42.553,86.67,-17.74,1756,184.86,-18.24,69.8,97.81,3.64,99.6
2025-02-12 16:33:42.653,84.71,-18.82,1822,188.03,-18.94,72.25,96.7,3.53,98.8
2025-02-12 16:33:42.753,84.58,-19.25,1817,189.42,-19.02,77.7,94.86,3.58,100.5
2025-02-12 16:33:42.853,84.96,-19.72,1895,185.36,-19.7,80.01,91.21,3.5,99.3
2025-02-12 16:33:42.953,85.9,-20.11,1905,184.2,-20.21,81.58,85.72,3.5,100.5
2025-02-12 16:33:43.053,86.48,-19.88,1984,179.35,-20.08,87.01,85.46,3.42,100.1
2025-02-12 16:33:43.153,85.47,-20.16,2000,180.31,-19.91,87.38,79.87,3.37,99.1
2025-02-12 16:33:43.253,85.24,-19.42,1990,180.28,-19.69,90.22,76.59,3.34,97.4
2025-02-12 16:33:43.353,87.03,-18.85,2016,179.99,-19.09,93.48,74.94,3.4,100.5
2025-02-12 16:33:43.453,84.29,-18.65,2043,179.29,-18.34,96.22,70.9,3.32,97.7
2025-02-12 16:33:43.553,87.05,-17.73,2064,173.43,-17.3,98.37,68.08,3.32,99.8
2025-02-12 16:33:43.653,85.86,-16.4,2093,174.27,-16.77,103.56,63.98,3.32,97.8
2025-02-12 16:33:43.753,83.89,-15.62,2186,170.16,-15.65,104.1,61.15,3.24,97.7
2025-02-12 16:33:43.853,87.13,-14.22,2205,168.19,-14.18,108.38,58.54,3.19,97.6
2025-02-12 16:33:43.953,83.78,-12.81,2200,166.25,-12.81,110.57,53.97,3.17,100.5
2025-02-12 16:33:44.053,85.19,-10.82,2221,159.36,-10.72,112.47,51.31,3.17,100.4
2025-02-12 16:33:44.153,85.85,-9.19,2247,158.43,-9.09,113.78,47.4,3.1,99.6
2025-02-12 16:33:44.253,84.11,-7.19,2327,154.72,-7.25,111.55,43.38,3.03,99.6
2025-02-12 16:33:44.353,86.9,-5.06,2307,151.93,-5.11,114.15,40.3,3.1,101.6
2025-02-12 16:33:44.453,85.48,-2.85,2287,150.31,-2.77,116.46,37.12,3.06,98.9
2025-02-12 16:33:44.553,83.66,-0.42,2331,150.96,-0.42,117.84,33.09,3.01,98.3
2025-02-12 16:33:44.653,83.92,2.09,2333,145.41,2.07,118.6,30.27,2.98,99.0
2025-02-12 16:33:44.753,84.55,4.78,2334,140.2,4.67,117.42,26.05,2.88,100.4
2025-02-12 16:33:44.853,83.77,7.5,2380,141.05,7.31,121.79,23.17,2.96,99.5
2025-02-12 16:33:44.953,83.93,10.45,2433,135.35,10.47,121.95,20.22,2.83,99.0
2025-02-12 16:33:45.053,83.62,13.0,2390,135.74,13.07,121.64,17.06,2.83,98.6
2025-02-12 16:33:45.153,84.0,15.98,2454,131.72,16.28,119.54,13.9,2.78,101.7
2025-02-12 16:33:45.253,85.25,19.35,2447,125.47,19.3,118.09,10.72,2.77,101.4
2025-02-12 16:33:45.353,85.18,22.49,2469,124.86,22.46,121.29,7.82,2.76,98.1
2025-02-12 16:33:45.453,85.62,25.41,2501,117.73,26.14,117.02,5.18,2.73,99.5
2025-02-12 16:33:45.553,85.84,29.08,2521,116.1,29.78,117.29,2.48,2.72,101.4
2025-02-12 16:33:45.653,86.43,32.9,2497,112.02,32.94,115.64,-0.01,2.61,99.0
2025-02-12 16:33:45.753,86.6,36.15,2497,109.9,35.65,116.22,-2.4,2.63,100.8
2025-02-12 16:33:45.853,85.35,39.23,2455,104.54,39.1,113.22,-4.65,2.56,99.7
2025-02-12 16:33:45.953,83.89,43.56,2490,104.19,43.1,113.69,-6.7,2.59,100.4
2025-02-12 16:33:46.053,83.98,46.33,2500,98.19,47.31,111.13,-8.62,2.5,99.3
2025-02-12 16:33:46.153,83.75,49.13,2468,95.16,49.49,111.42,-10.58,2.48,99.3
2025-02-12 16:33:46.253,83.93,53.46,2519,89.68,52.56,108.34,-12.37,2.49,101.3
2025-02-12 16:33:46.353,85.32,58.04,2485,86.91,57.19,105.29,-13.95,2.4,100.5
2025-02-12 16:33:46.453,85.85,60.37,2524,85.7,60.07,104.48,-15.01,2.44,100.7
2025-02-12 16:33:46.553,85.48,63.16,2502,82.16,64.95,103.12,-16.2,2.33,99.7
2025-02-12 16:33:46.653,86.24,67.7,2517,76.3,66.1,101.16,-17.18,2.38,101.9
2025-02-12 16:33:46.753,85.85,70.88,2459,72.97,69.55,98.97,-18.41,2.28,101.8
2025-02-12 16:33:46.853,83.99,72.76,2486,70.74,72.93,96.11,-19.04,2.3,101.2
2025-02-12 16:33:46.953,85.48,78.1,2509,67.26,78.79,90.33,-19.33,2.29,101.7
2025-02-12 16:33:47.053,83.85,80.58,2440,64.28,79.32,89.3,-19.66,2.18,99.3
2025-02-12 16:33:47.153,85.89,84.46,2434,60.55,83.21,86.15,-19.8,2.23,99.6
2025-02-12 16:33:47.253,83.71,86.4,2413,57.49,86.44,83.32,-19.89,2.16,100.5
2025-02-12 16:33:47.353,86.54,90.78,2372,52.75,90.32,80.17,-20.0,2.1,101.8
2025-02-12 16:33:47.453,84.88,92.33,2393,51.21,94.21,75.43,-19.62,2.05,98.8
2025-02-12 16:33:47.553,85.03,94.27,2380,46.73,93.61,74.32,-19.21,2.06,101.1
2025-02-12 16:33:47.653,85.38,96.9,2369,43.59,97.05,69.44,-17.93,2.05,98.6
2025-02-12 16:33:47.753,84.36,102.1,2349,41.83,99.16,66.35,-17.03,1.98,98.1
